stat_date,active_vehicle_cnt,total_trip_cnt,total_distance_km,total_duration_min,avg_vehicle_speed_kmh,night_active_vehicle_cnt,peak_active_vehicle_cnt,global_avg_speed_kmh,peak_trip_cnt,hourly_peak_hour,hourly_peak_trip_cnt
2015-01-03,6749,152553,1369631.8294348363,3810874.3333333335,21.474697736836013,1754,1500,21.56405658598823,47401,15,9658
2015-01-04,12021,245865,2153533.729051622,6166614.15,20.871573037297633,1996,2322,20.95347959189198,72295,15,17645
2015-01-05,12158,282894,2535208.481415338,6981717.983333333,21.6651363592146,3180,3354,21.787260563666607,93078,17,17095
2015-01-06,12149,266618,2429515.8199252747,6850466.883333334,21.090258425237337,3345,3591,21.278980203548773,88002,8,16706
2015-01-07,12188,251601,2449739.518081729,6910404.883333334,21.138107992608877,3716,3243,21.27000856916559,80687,17,15482
